skill_id,skill_name,family_id,family_name,theme,subskill_nodes,notes
jh_數學1上_FourArithmeticOperationsOfIntegers,整數四則運算,I1,int_numberline_add_sub,整數加減,sign_handling;add_sub,數線語意下的正負整數加減
jh_數學1上_FourArithmeticOperationsOfIntegers,整數四則運算,I2,int_flat_add_sub,整數加減,sign_handling;add_sub,平面整數連續加減
jh_數學1上_FourArithmeticOperationsOfIntegers,整數四則運算,I3,int_flat_mul_div_exact,整數乘除,sign_handling;mul_div;exact_divisibility,乘除與整除檢查
jh_數學1上_FourArithmeticOperationsOfIntegers,整數四則運算,I4,int_flat_mixed_four_ops,整數四則混合,sign_handling;add_sub;mul_div;order_of_operations,無括號的四則混合
jh_數學1上_FourArithmeticOperationsOfIntegers,整數四則運算,I5,int_bracket_mixed,括號整數四則,sign_handling;bracket_scope;order_of_operations,含中括號或括號的混合四則
jh_數學1上_FourArithmeticOperationsOfIntegers,整數四則運算,I6,int_abs_value,絕對值整數四則,sign_handling;absolute_value,含絕對值的整數運算
jh_數學1上_FourArithmeticOperationsOfIntegers,整數四則運算,I7,int_division_exact_nested,巢狀整除結構,sign_handling;mul_div;bracket_scope;absolute_value;exact_divisibility,巢狀結構且最終需整除
jh_數學1上_FourArithmeticOperationsOfIntegers,整數四則運算,I8,int_composite_structure,綜合結構題,sign_handling;add_sub;mul_div;order_of_operations;bracket_scope;absolute_value;exact_divisibility;isomorphic_structure,高階複合 family
jh_數學1上_FourArithmeticOperationsOfIntegers,整數四則運算,I9,int_power_sign_parentheses,乘方、負號與括號,power_notation_basics;signed_power_interpretation;parenthesized_negative_base;minus_outside_power,補強 (-a)^n 與 -a^n 的語意差異
jh_數學1上_FourArithmeticOperationsOfIntegers,整數四則運算,I10,int_power_mixed_evaluation,乘方混合運算,power_precedence_in_mixed_ops;signed_power_evaluation;mixed_power_arithmetic,補強乘方優先順序與正負號混合運算
jh_數學1上_FourArithmeticOperationsOfNumbers,分數四則運算,F1,Fraction Simplification,分數化簡,proper_improper_fraction;mixed_numbers;sign_normalization;simplest_form_reduction,最簡分數與最簡帶分數
jh_數學1上_FourArithmeticOperationsOfNumbers,分數四則運算,F2,Equivalent Fraction Fill-Blank,等值分數填空,equivalent_fraction_scaling;sign_normalization,等值鏈中的空格求值
jh_數學1上_FourArithmeticOperationsOfNumbers,分數四則運算,F3,Preserve-Value Fraction Invariance,分數值不變,preserve_value_invariance;equivalent_fraction_scaling,分子分母改變但值保持不變
jh_數學1上_FourArithmeticOperationsOfNumbers,分數四則運算,F4,Fraction Comparison,分數大小比較,positive_fraction_comparison;negative_fraction_comparison;mixed_number_comparison,正分數負分數與帶分數比較
jh_數學1上_FourArithmeticOperationsOfNumbers,分數四則運算,F5,Fraction Add/Subtract,分數加減,add_sub;nested_parentheses;mixed_numbers,同分母異分母含帶分數與括號
jh_數學1上_FourArithmeticOperationsOfNumbers,分數四則運算,F6,Fraction Multiply,分數乘法,multiply;mixed_numbers;telescoping_products,含連乘與望遠鏡式乘積
jh_數學1上_FourArithmeticOperationsOfNumbers,分數四則運算,F7,Fraction Divide,分數除法,divide;mixed_numbers;decimal_fraction_mixed_arithmetic,含混合乘除與小數除法
jh_數學1上_FourArithmeticOperationsOfNumbers,分數四則運算,F8,Reciprocal,倒數,reciprocal_transform,分數整數帶分數倒數
jh_數學1上_FourArithmeticOperationsOfNumbers,分數四則運算,F9,Decimal-Fraction Mixed Evaluation,分數小數混合四則,decimal_to_fraction_exact_conversion;add_sub;multiply;divide;nested_parentheses,含小數整數與分數的綜合算式
jh_數學1上_FourArithmeticOperationsOfNumbers,分數四則運算,F10,Fraction Word Problems,分數應用題,remaining_amount;container_weight;before_after_ratio;share_comparison,無人機果汁牛奶遺產圖書館等子題型
jh_數學1上_FourArithmeticOperationsOfNumbers,分數四則運算,F11,power_same_base_multiply,同底數相乘與指數相加,same_base_multiplication_rule;power_building_from_repetition,只做 polynomial bridge 需要的同底數相乘指數律
jh_數學1上_FourArithmeticOperationsOfNumbers,分數四則運算,F12,power_of_power,冪的冪,power_of_power_rule,只做 polynomial bridge 需要的冪的冪規則
jh_數學1上_FourArithmeticOperationsOfNumbers,分數四則運算,F13,product_power_distribution,積的冪,product_power_distribution;fraction_power_distribution,只做 polynomial bridge 需要的積的冪分配
jh_數學2上_FourArithmeticOperationsOfPolynomial,多項式四則運算,F1,poly_add_sub_flat,多項式加減,normalize_terms;combine_like_terms,平面多項式加減
jh_數學2上_FourArithmeticOperationsOfPolynomial,多項式四則運算,F2,poly_add_sub_nested,巢狀多項式加減,sign_distribution;combine_like_terms;family_isomorphism,括號巢狀與符號分配
jh_數學2上_FourArithmeticOperationsOfPolynomial,多項式四則運算,F3,poly_add_sub_unknown,未知多項式求解,sign_distribution;unknown_target_preservation,由等式反求未知多項式
jh_數學2上_FourArithmeticOperationsOfPolynomial,多項式四則運算,F4,poly_mul_monomial,單項式乘法,expand_monomial,單項式乘單項式或乘多項式
jh_數學2上_FourArithmeticOperationsOfPolynomial,多項式四則運算,F5,poly_mul_poly,多項式乘法展開,expand_binomial;combine_like_terms,一般多項式乘法
jh_數學2上_FourArithmeticOperationsOfPolynomial,多項式四則運算,F6,poly_mul_special_identity,乘法公式,special_identity,平方公式與和差平方
jh_數學2上_FourArithmeticOperationsOfPolynomial,多項式四則運算,F7,poly_div_monomial_eval,單項式除法直接化簡,normalize_terms,直接求商
jh_數學2上_FourArithmeticOperationsOfPolynomial,多項式四則運算,F8,poly_div_monomial_qr,單項式除法商餘,long_division;quotient_remainder_format,求商與餘式
jh_數學2上_FourArithmeticOperationsOfPolynomial,多項式四則運算,F9,poly_div_poly_qr,多項式長除法,long_division;quotient_remainder_format,多項式除以多項式
jh_數學2上_FourArithmeticOperationsOfPolynomial,多項式四則運算,F10,poly_div_reverse,反推除法,reverse_division_reconstruction,由商與餘式反推
jh_數學2上_FourArithmeticOperationsOfPolynomial,多項式四則運算,F11,poly_mixed_simplify,綜合化簡,expand_binomial;special_identity;combine_like_terms;family_isomorphism,多步驟混合化簡
jh_數學2上_FourArithmeticOperationsOfPolynomial,多項式四則運算,F12,poly_geom_formula_direct,幾何公式應用,geometry_formula,幾何量與多項式公式
jh_數學2上_FourArithmeticOperationsOfPolynomial,多項式四則運算,F13,poly_geom_region_composite,複合圖形應用,geometry_formula;composite_region_modeling,複合區域面積與周長
jh_數學2上_FourOperationsOfRadicals,根式四則運算,p0,p0_simplify,單根式化簡,simplify,單一根式化簡
jh_數學2上_FourOperationsOfRadicals,根式四則運算,p1,p1_add_sub,純根式加減,combine_like_terms,同類根式加減
jh_數學2上_FourOperationsOfRadicals,根式四則運算,p1b,p1b_add_sub_bracket,括號根式加減,combine_like_terms;bracket_scope,帶括號根式加減
jh_數學2上_FourOperationsOfRadicals,根式四則運算,p1c,p1c_mixed_frac_rad_add_sub,分數根式加減,combine_like_terms;fractional_radical,分數與根式混合加減
jh_數學2上_FourOperationsOfRadicals,根式四則運算,p2a,p2a_mult_direct,根式直接相乘,multiply_terms,兩根式直接相乘
jh_數學2上_FourOperationsOfRadicals,根式四則運算,p2b,p2b_mult_distrib,根式分配律乘法,multiply_terms;distribute,單項乘括號
jh_數學2上_FourOperationsOfRadicals,根式四則運算,p2c,p2c_mult_binomial,根式雙括號展開,multiply_terms;distribute;binomial_expand,雙括號展開
jh_數學2上_FourOperationsOfRadicals,根式四則運算,p2d,p2d_perfect_square,根式完全平方,multiply_terms;binomial_expand,平方公式
jh_數學2上_FourOperationsOfRadicals,根式四則運算,p2e,p2e_diff_of_squares,根式平方差,multiply_terms;binomial_expand,平方差公式
jh_數學2上_FourOperationsOfRadicals,根式四則運算,p2f,p2f_int_mult_rad,整數乘根式,multiply_terms,整數與根式
jh_數學2上_FourOperationsOfRadicals,根式四則運算,p2g,p2g_rad_mult_frac,根式乘分數,multiply_terms;fractional_radical,根式與分數
jh_數學2上_FourOperationsOfRadicals,根式四則運算,p2h,p2h_frac_mult_rad,分數乘根式,multiply_terms;fractional_radical,分數與根式
jh_數學2上_FourOperationsOfRadicals,根式四則運算,p3a,p3a_div_expr,表達式除以根式,divide_terms;bracket_scope,帶結構的除法
jh_數學2上_FourOperationsOfRadicals,根式四則運算,p3b,p3b_div_simple,a_over_sqrt_b_rationalize,divide_terms;conjugate_rationalize,a除以根號b的有理化
jh_數學2上_FourOperationsOfRadicals,根式四則運算,p3c,p3c_div_direct,根式直接相除,divide_terms,兩根式直接相除
jh_數學2上_FourOperationsOfRadicals,根式四則運算,p4,p4_frac_mult,分式根式乘法,fractional_radical;structure_isomorphism,分數乘根式分數
jh_數學2上_FourOperationsOfRadicals,根式四則運算,p4b,p4b_frac_rad_div,根式分式相除,divide_terms;conjugate_rationalize,根式分式除法
jh_數學2上_FourOperationsOfRadicals,根式四則運算,p4c,p4c_nested_frac_chain,根號內分數連算,fractional_radical;structure_isomorphism,連續根號分數運算
jh_數學2上_FourOperationsOfRadicals,根式四則運算,p4d,p4d_frac_rad_div_mixed,混合根式分式除法,divide_terms;conjugate_rationalize;fractional_radical,a除以根號b與根式分式混合
jh_數學2上_FourOperationsOfRadicals,根式四則運算,p5a,p5a_conjugate_int,整數分子共軛有理化,divide_terms;conjugate_rationalize,1除以b根號q加減c
jh_數學2上_FourOperationsOfRadicals,根式四則運算,p5b,p5b_conjugate_rad,根式分子共軛有理化,divide_terms;conjugate_rationalize,根式在分子的共軛有理化
jh_數學2上_FourOperationsOfRadicals,根式四則運算,p6,p6_combo,多步驟綜合題,simplify;combine_like_terms;multiply_terms;divide_terms;structure_isomorphism,複合根式結構
jh_數學2上_FourOperationsOfRadicals,根式四則運算,p7,p7_mixed_rad_add,帶分數根式加減,mixed_number_radical;combine_like_terms,帶分數型根式加減
jh_數學1上_OperationsOnLinearExpressions,一元一次式化簡,L1,linear_flat_mul_div,單項乘除轉寫,coefficient_sign_handling,乘除轉寫、負係數與分數係數運算
jh_數學1上_OperationsOnLinearExpressions,一元一次式化簡,L2,linear_combine_like_terms,同類項合併,like_term_combination,同類項辨識與負號影響
jh_數學1上_OperationsOnLinearExpressions,一元一次式化簡,L3,linear_flat_simplify_with_constants,平面化簡（含常數）,term_collection_with_constants;like_term_combination,代數項與常數項分離後合併
jh_數學1上_OperationsOnLinearExpressions,一元一次式化簡,L4,linear_outer_minus_scope,外層負號整包變號,outer_minus_scope,括號前負號作用整個括號
jh_數學1上_OperationsOnLinearExpressions,一元一次式化簡,L5,linear_monomial_distribution,單項分配到括號,monomial_distribution;coefficient_sign_handling,分配律展開與符號翻轉
jh_數學1上_OperationsOnLinearExpressions,一元一次式化簡,L6,linear_nested_simplify,多括號綜合化簡,nested_bracket_scope;structure_isomorphism;like_term_combination,巢狀結構展開後合併同類項
jh_數學1上_OperationsOnLinearExpressions,一元一次式化簡,L7,linear_fraction_expression_simplify,分式代數式化簡,fractional_expression_simplification;nested_bracket_scope,分式係數與括號混合化簡
